TYPE
	S24		S58		S912	T24		T58		T912	TH24	TH58	TH912
MZ	0.50	1.00	1.00	1.00	1.00	0.83	0.67	0.83	1.00
SX	0.17	1.00	1.00	1.00	0.83	0.17	0.50	1.00	0.83
ShD	0.17	0.17	0.33	0.17	0.67	0.33	0.17	0.33	0.33
YA	0.00	0.50	1.00	1.00	0.67	1.00	0.33	1.00	0.83
SaD	0.00	0.83	1.00	1.00	1.00	1.00	1.00	1.00	1.00
AT	0.17	0.83	1.00	1.00	1.00	1.00	0.67	1.00	1.00
RJ	0.00	0.67	1.00	1.00	1.00	1.00	0.83	1.00	1.00
AG	0.00	0.33	1.00	0.67	0.83	0.50	0.50	0.83	1.00
YW	0.17	0.50	1.00	0.83	0.67	0.17	0.33	1.00	1.00
SM	0.00	0.83	1.00	1.00	1.00	0.83	0.67	1.00	1.00



SIZE
	S24		S58		S912	T24		T58		T912	TH24	TH58	TH912
MZ	0.83	0.83	0.67	0.83	0.33	0.17	0.67	0.33	0.00
SX	1.00	0.67	0.67	1.00	0.67	0.00	1.00	0.50	0.17
ShD	1.00	0.17	0.00	1.00	0.00	0.00	1.00	0.33	0.17
YA	0.83	0.33	1.00	0.83	0.33	0.17	0.83	0.50	0.17
SaD	0.67	0.83	0.83	1.00	0.67	0.33	0.67	0.67	0.67
AT	0.67	0.50	0.50	1.00	0.33	0.17	0.50	0.67	0.17
RJ	1.00	0.67	0.33	1.00	0.50	0.17	1.00	0.50	0.17
AG	1.00	0.50	1.00	0.67	0.33	0.00	1.00	0.67	0.67
YW	0.50	0.83	0.83	0.83	0.67	0.33	0.50	0.83	0.33
SM	1.00	0.67	0.00	1.00	0.50	0.33	1.00	0.50	0.17
