trial;type;nb_actuators;width;length;actuators
1;slide;9;3;3;[['palm12', 'palm22', 'palm32'], ['palm13', 'palm23', 'palm33'], ['p1', 'rf1', 'mf1']]
2;slide;4;2;2;[['palm23', 'rf1'], ['palm33', 'ff1']]
3;tap;4;1;4;['mf2', 'mf1', 'palm23', 'palm33']
4;slide;12;4;3;[['palm32', 'palm33', 'ff1', 'ff2'], ['palm22', 'palm23', 'mf1', 'mf2'], ['palm12', 'palm13', 'rf1', 'rf2']]
5;tap-and-hold;3;1;3;['s1', 'palm12', 'palm11']
6;tap;3;1;3;['palm21', 'palm22', 'palm32']
7;slide;12;3;4;[['rf3', 'mf3', 'ff3'], ['rf2', 'mf2', 'ff2'], ['rf1', 'mf1', 'ff1'], ['palm13', 'palm23', 'palm33']]
8;tap-and-hold;3;1;3;['palm31', 'palm21', 'palm22']
9;tap-and-hold;3;1;3;['palm21', 'palm22', 'palm32']
10;slide;8;4;2;[['mf1', 'palm23', 'palm22', 'palm21'], ['rf1', 'palm13', 'palm12', 'palm11']]
11;tap-and-hold;9;3;3;[['ff3', 'mf3', 'rf3'], ['ff2', 'mf2', 'rf2'], ['ff1', 'mf1', 'rf1']]
12;tap-and-hold;10;2;5;[['palm31', 'palm21'], ['palm32', 'palm22'], ['palm33', 'palm23'], ['mf1', 'rf1'], ['mf2', 'rf2']]
13;slide;12;4;3;[['palm31', 'palm32', 'palm33', 'ff1'], ['palm21', 'palm22', 'palm23', 'mf1'], ['palm11', 'palm12', 'palm13', 'rf1']]
