time,event
9.199997293762863e-06,experiment started
0.05091520000132732,stimulus 1 of 60 complete
0.1015417000016896,stimulus 2 of 60 complete
0.1521707000065362,stimulus 3 of 60 complete
0.20280310000816826,stimulus 4 of 60 complete
0.2536171999963699,stimulus 5 of 60 complete
0.30457860000024084,stimulus 6 of 60 complete
0.3552791999973124,stimulus 7 of 60 complete
0.40616030000091996,stimulus 8 of 60 complete
0.45678700000280514,stimulus 9 of 60 complete
0.5074026000074809,stimulus 10 of 60 complete
0.5583614000061061,stimulus 11 of 60 complete
0.6091412999958266,stimulus 12 of 60 complete
0.659924100007629,stimulus 13 of 60 complete
0.7107707999966806,stimulus 14 of 60 complete
0.7615622000012081,stimulus 15 of 60 complete
0.8121939999982715,stimulus 16 of 60 complete
0.8628918000031263,stimulus 17 of 60 complete
0.9136473999969894,stimulus 18 of 60 complete
0.9645870000094874,stimulus 19 of 60 complete
1.0155196999985492,stimulus 20 of 60 complete
1.0665252000035252,stimulus 21 of 60 complete
1.117663500001072,stimulus 22 of 60 complete
1.1685436999978265,stimulus 23 of 60 complete
1.2195379000040703,stimulus 24 of 60 complete
1.270203699998092,stimulus 25 of 60 complete
1.3208563000080176,stimulus 26 of 60 complete
1.3715489000023808,stimulus 27 of 60 complete
1.4222020000015618,stimulus 28 of 60 complete
1.4728295999957481,stimulus 29 of 60 complete
1.523490399995353,stimulus 30 of 60 complete
1.574248200005968,stimulus 31 of 60 complete
1.624888300008024,stimulus 32 of 60 complete
1.6754990000044927,stimulus 33 of 60 complete
1.7261389000050258,stimulus 34 of 60 complete
1.7767536000028485,stimulus 35 of 60 complete
1.8273668000038015,stimulus 36 of 60 complete
1.8779838000045856,stimulus 37 of 60 complete
1.9285593000095105,stimulus 38 of 60 complete
1.97917970000708,stimulus 39 of 60 complete
2.0297888000059174,stimulus 40 of 60 complete
2.0804501000093296,stimulus 41 of 60 complete
2.1310470000025816,stimulus 42 of 60 complete
2.181668899997021,stimulus 43 of 60 complete
2.2323507999972207,stimulus 44 of 60 complete
2.2830545000033453,stimulus 45 of 60 complete
2.3338075000065146,stimulus 46 of 60 complete
2.3844441999972332,stimulus 47 of 60 complete
2.4350568000081694,stimulus 48 of 60 complete
2.4856696000060765,stimulus 49 of 60 complete
2.536271699995268,stimulus 50 of 60 complete
2.587010500006727,stimulus 51 of 60 complete
2.637865700002294,stimulus 52 of 60 complete
2.6885304000024917,stimulus 53 of 60 complete
2.7391899000067497,stimulus 54 of 60 complete
2.789829000001191,stimulus 55 of 60 complete
2.84043379999639,stimulus 56 of 60 complete
2.8910517000040272,stimulus 57 of 60 complete
2.941646100007347,stimulus 58 of 60 complete
2.9923171999980696,stimulus 59 of 60 complete
3.042944400003762,stimulus 60 of 60 complete
3.0431907000020146,Experiment finished
